,gin,vermouth rosso,campari,tonic,bourbon,sugar cube,bitters,water,rye whiskey,espresso,coffee liqueur,vodka.,vermouth,orange bitters,lemon juice,whiskey,egg white,orange peel,tequila,orange liqueur,sweet vermouth,angostura bitters,lemon peel,lime juice,syrup,mint leaves,white rum,peach schnapps,orange juice,pineapple juice,vodka,cranberry juice,raspberry liqueur,prosecco,aperol,soda water,triple sec,bourbon whiskey,angostura bitter,claret wine,rum,coconut juice,scotch,honey-ginger syrup,blended scotch,ice,tomato juice,tabasco,salt,black pepper,ginger beer,raspberry syrup,dark rum,orgeat,grapefruit juice,pisco,cognac,liqueur,blackberries
coffee liqueur,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.33735632183908043,0.1,0.33735632183908043,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126
vodka.,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.33735632183908043,0.33735632183908043,0.1,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126
vermouth,0.07463054187192118,0.0032019704433497533,0.1460591133004926,0.0032019704433497533,0.07463054187192118,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.07463054187192118,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.1,0.07463054187192118,0.07463054187192118,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.07463054187192118,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.0032019704433497533,0.07463054187192118,0.07463054187192118,0.0032019704433497533
orange bitters,0.07917771883289125,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.07917771883289125,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.07917771883289125,0.1,0.1561007957559682,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.07917771883289125,0.07917771883289125,0.07917771883289125,0.0022546419098143236,0.07917771883289125,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.0022546419098143236,0.07917771883289125,0.0022546419098143236
lemon juice,0.07205292702485966,0.002285485164394547,0.002285485164394547,0.002285485164394547,0.002285485164394547,0.02554129911788292,0.002285485164394547,0.002285485164394547,0.002285485164394547,0.002285485164394547,0.002285485164394547,0.002285485164394547,0.02554129911788292,0.04879711307137129,0.1,0.02554129911788292,0.04879711307137129,0.02554129911788292,0.02554129911788292,0.02554129911788292,0.002285485164394547,0.002285485164394547,0.002285485164394547,0.002285485164394547,0.07205292702485966,0.002285485164394547,0.002285485164394547,0.002285485164394547,0.002285485164394547,0.002285485164394547,0.04879711307137129,0.02554129911788292,0.002285485164394547,0.002285485164394547,0.002285485164394547,0.002285485164394547,0.02554129911788292,0.02554129911788292,0.02554129911788292,0.02554129911788292,0.002285485164394547,0.002285485164394547,0.02554129911788292,0.02554129911788292,0.02554129911788292,0.02554129911788292,0.02554129911788292,0.02554129911788292,0.02554129911788292,0.02554129911788292,0.002285485164394547,0.02554129911788292,0.002285485164394547,0.002285485164394547,0.002285485164394547,0.002285485164394547,0.002285485164394547,0.02554129911788292,0.002285485164394547
whiskey,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.2017241379310345,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.2017241379310345,0.1,0.2017241379310345,0.2017241379310345,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483
egg white,0.07339901477832513,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.07339901477832513,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.14482758620689654,0.07339901477832513,0.1,0.07339901477832513,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.07339901477832513,0.07339901477832513,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.07339901477832513,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.07339901477832513,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944,0.07339901477832513,0.0019704433497536944,0.0019704433497536944,0.0019704433497536944
orange peel,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.2017241379310345,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.2017241379310345,0.2017241379310345,0.2017241379310345,0.1,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483,0.001724137931034483
tequila,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.1132183908045977,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.1,0.1132183908045977,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.1132183908045977,0.1132183908045977,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.1132183908045977,0.00210727969348659,0.00210727969348659,0.1132183908045977,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.1132183908045977,0.00210727969348659,0.00210727969348659,0.00210727969348659,0.00210727969348659
orange liqueur,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.33735632183908043,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.33735632183908043,0.1,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126,0.004022988505747126
